id_registro_atendimento,fk_beneficiario,data_hora,tipo_nome,tipo_descricao
4881,149,"2025-05-01 06:17:28",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4263,302,"2025-05-01 06:48:37",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4918,322,"2025-05-01 07:18:42",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4692,55,"2025-05-01 07:23:02",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4869,231,"2025-05-01 09:13:54",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
5002,1,"2025-05-01 09:13:54",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4351,135,"2025-05-01 09:20:38",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4491,314,"2025-05-01 11:20:19",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4397,72,"2025-05-01 11:36:14",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4851,136,"2025-05-01 12:05:01",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4938,42,"2025-05-01 12:13:48",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4596,123,"2025-05-01 12:23:28",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4408,154,"2025-05-01 12:50:22",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4220,62,"2025-05-01 13:44:08",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4395,139,"2025-05-01 14:12:40",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4010,286,"2025-05-01 14:53:12",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4719,182,"2025-05-01 15:04:26",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4122,106,"2025-05-01 15:49:46",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4812,194,"2025-05-01 16:12:06",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4809,179,"2025-05-01 17:02:08",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4342,96,"2025-05-01 17:11:36",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4019,135,"2025-05-01 17:38:11",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4995,343,"2025-05-01 17:57:12",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4431,262,"2025-05-01 18:35:16",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4777,235,"2025-05-01 19:49:00",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4599,42,"2025-05-01 20:10:47",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4420,302,"2025-05-01 20:17:30",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4695,80,"2025-05-02 07:54:35",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4759,68,"2025-05-02 08:15:52",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4511,272,"2025-05-02 08:50:57",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4121,25,"2025-05-02 09:41:49",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4299,111,"2025-05-02 09:47:27",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4779,338,"2025-05-02 11:38:35",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4519,256,"2025-05-02 14:45:13",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4636,227,"2025-05-02 15:49:55",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4499,64,"2025-05-02 16:03:07",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4400,137,"2025-05-02 16:42:29",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4653,136,"2025-05-02 18:24:55",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4799,228,"2025-05-02 18:25:38",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4638,292,"2025-05-02 18:41:13",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4865,135,"2025-05-03 06:12:06",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4329,158,"2025-05-03 06:47:15",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4271,269,"2025-05-03 06:48:13",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4971,111,"2025-05-03 07:30:43",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4988,168,"2025-05-03 08:39:46",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4981,118,"2025-05-03 08:40:28",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
4873,208,"2025-05-03 08:52:40",Banho,"Oferecimento de banho e cuidados de higiene pessoal."
