dia;chuva_mm_min;chuva_mm_max;chuva_mm_mean;chuva_mm_sum;temp_c_min;temp_c_max;temp_c_mean;temp_c_sum;umidade_min;umidade_max;umidade_mean;umidade_sum;estacao;ano;mes
2025-01-01;0.0;0.4;0.016666666666666666;0.4;19.0;29.0;22.866666666666664;548.8;40.0;88.0;70.83333333333333;1700.0;Verao;2025;1
2025-01-02;0.0;0.2;0.008333333333333333;0.2;19.3;30.7;24.5625;589.5;36.0;87.0;63.333333333333336;1520.0;Verao;2025;1
2025-01-03;0.0;12.0;0.5666666666666667;13.6;20.9;30.2;23.77916666666667;570.7;44.0;90.0;68.875;1653.0;Verao;2025;1
2025-01-04;0.0;0.4;0.016666666666666666;0.4;20.9;28.4;24.370833333333334;584.9;47.0;80.0;66.66666666666667;1600.0;Verao;2025;1
2025-01-05;0.0;0.4;0.041666666666666664;1.0;19.5;28.4;23.4375;562.5;42.0;87.0;70.125;1683.0;Verao;2025;1
2025-01-06;0.0;0.0;0.0;0.0;20.4;30.8;23.53333333333333;564.8;27.0;81.0;67.20833333333333;1613.0;Verao;2025;1
2025-01-07;0.0;5.4;0.39166666666666666;9.4;19.9;29.1;22.45;538.8;43.0;88.0;73.29166666666667;1759.0;Verao;2025;1
2025-01-08;0.0;1.4;0.10833333333333332;2.5999999999999996;19.4;27.9;21.9375;526.5;50.0;85.0;73.79166666666667;1771.0;Verao;2025;1
2025-01-09;0.0;0.0;0.0;0.0;18.8;25.6;20.970833333333335;503.3;55.0;86.0;73.91666666666667;1774.0;Verao;2025;1
2025-01-10;0.0;0.2;0.016666666666666666;0.4;18.2;26.5;21.458333333333332;515.0;44.0;87.0;67.45833333333333;1619.0;Verao;2025;1
2025-01-11;0.0;0.0;0.0;0.0;16.3;27.7;21.099999999999998;506.4;37.0;83.0;65.54166666666667;1573.0;Verao;2025;1
2025-01-12;0.0;0.0;0.0;0.0;18.8;24.9;21.212500000000002;509.1;50.0;81.0;68.16666666666667;1636.0;Verao;2025;1
2025-01-13;0.0;0.0;0.0;0.0;17.2;24.5;20.3875;489.3;48.0;80.0;65.83333333333333;1580.0;Verao;2025;1
2025-01-14;0.0;0.0;0.0;0.0;16.3;23.1;19.345833333333335;464.3;56.0;85.0;71.29166666666667;1711.0;Verao;2025;1
2025-01-15;0.0;0.0;0.0;0.0;18.6;28.4;22.104166666666668;530.5;47.0;80.0;67.91666666666667;1630.0;Verao;2025;1
2025-01-16;0.0;5.2;0.3583333333333334;8.600000000000001;20.6;29.4;23.541666666666668;565.0;50.0;91.0;72.79166666666667;1747.0;Verao;2025;1
2025-01-17;0.0;16.6;1.125;27.0;20.5;27.7;23.758333333333336;570.2;58.0;99.0;78.375;1881.0;Verao;2025;1
2025-01-18;0.0;0.4;0.016666666666666666;0.4;21.2;31.8;25.870833333333334;620.9;42.0;88.0;65.54166666666667;1573.0;Verao;2025;1
2025-01-19;0.0;4.6;0.19166666666666665;4.6;22.3;31.0;26.22083333333333;629.3;41.0;84.0;65.29166666666667;1567.0;Verao;2025;1
2025-01-20;0.0;0.0;0.0;0.0;22.1;31.1;26.516666666666666;636.4;41.0;77.0;60.916666666666664;1462.0;Verao;2025;1
2025-01-21;0.0;0.0;0.0;0.0;23.8;32.8;27.650000000000002;663.6;36.0;70.0;54.666666666666664;1312.0;Verao;2025;1
2025-01-22;0.0;12.0;0.5583333333333333;13.4;22.6;34.1;27.0125;648.3;27.0;88.0;59.541666666666664;1429.0;Verao;2025;1
2025-01-23;0.0;0.0;0.0;0.0;21.6;31.1;25.182608695652174;579.2;42.0;80.0;62.34782608695652;1434.0;Verao;2025;1
2025-01-24;0.0;82.0;5.225;125.39999999999999;19.3;31.9;23.96666666666667;575.2;37.0;100.0;73.5;1764.0;Verao;2025;1
2025-01-25;0.0;0.6;0.03333333333333333;0.8;20.4;31.9;25.054166666666664;601.3;37.0;100.0;71.20833333333333;1709.0;Verao;2025;1
2025-01-26;0.0;18.4;1.7083333333333333;41.0;19.8;29.3;23.3875;561.3;50.0;100.0;77.08333333333333;1850.0;Verao;2025;1
2025-01-27;0.0;8.2;0.5333333333333333;12.8;20.5;25.9;22.212500000000002;533.1;61.0;96.0;81.04166666666667;1945.0;Verao;2025;1
2025-01-28;0.0;5.2;0.5;12.0;19.6;27.3;22.358333333333334;536.6;58.0;91.0;81.54166666666667;1957.0;Verao;2025;1
2025-01-29;0.0;9.2;1.0;24.0;20.3;25.6;21.84583333333333;524.3;69.0;99.0;91.70833333333333;2201.0;Verao;2025;1
2025-01-30;0.0;1.4;0.3083333333333333;7.3999999999999995;20.8;25.6;21.883333333333336;525.2;68.0;92.0;86.5;2076.0;Verao;2025;1
2025-01-31;0.0;3.6;0.17500000000000002;4.2;20.6;26.7;22.900000000000002;549.6;57.0;96.0;79.83333333333333;1916.0;Verao;2025;1
