dia;chuva_mm_min;chuva_mm_max;chuva_mm_mean;chuva_mm_sum;temp_c_min;temp_c_max;temp_c_mean;temp_c_sum;umidade_min;umidade_max;umidade_mean;umidade_sum;arquivo_origem;ano;mes;dia_num;estacao
2025-01-01;0.0;0.4;0.0166666666666666;0.4;19.0;29.0;22.866666666666664;548.8;40.0;88.0;70.83333333333333;1700.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;1;Verao
2025-01-02;0.0;0.2;0.0083333333333333;0.2;19.3;30.7;24.5625;589.5;36.0;87.0;63.333333333333336;1520.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;2;Verao
2025-01-03;0.0;12.0;0.5666666666666667;13.6;20.9;30.2;23.77916666666667;570.7;44.0;90.0;68.875;1653.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;3;Verao
2025-01-04;0.0;0.4;0.0166666666666666;0.4;20.9;28.4;24.370833333333334;584.9;47.0;80.0;66.66666666666667;1600.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;4;Verao
2025-01-05;0.0;0.4;0.0416666666666666;1.0;19.5;28.4;23.4375;562.5;42.0;87.0;70.125;1683.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;5;Verao
2025-01-06;0.0;0.0;0.0;0.0;20.4;30.8;23.53333333333333;564.8;27.0;81.0;67.20833333333333;1613.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;6;Verao
2025-01-07;0.0;5.4;0.3916666666666666;9.4;19.9;29.1;22.45;538.8;43.0;88.0;73.29166666666667;1759.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;7;Verao
2025-01-08;0.0;1.4;0.1083333333333333;2.6;19.4;27.9;21.9375;526.5;50.0;85.0;73.79166666666667;1771.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;8;Verao
2025-01-09;0.0;0.0;0.0;0.0;18.8;25.6;20.97083333333333;503.3;55.0;86.0;73.91666666666667;1774.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;9;Verao
2025-01-10;0.0;0.2;0.0166666666666666;0.4;18.2;26.5;21.45833333333333;515.0;44.0;87.0;67.45833333333333;1619.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;10;Verao
2025-01-11;0.0;0.0;0.0;0.0;16.3;27.7;21.1;506.4;37.0;83.0;65.54166666666667;1573.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;11;Verao
2025-01-12;0.0;0.0;0.0;0.0;18.8;24.9;21.2125;509.1;50.0;81.0;68.16666666666667;1636.0;INMET_SE_SP_A701_SAO PAULO - MIRANTE_01-01-2025_A_30-09-2025.CSV;2025;1;12;Verao
