id,idade,raca_cor,sexo,identidade_genero,orientacao_sexual
1,37,Preta,Feminino,Homem trans,Gay
2,22,Branca,Masculino,Homem cisgenero,Heterossexual
3,25,Parda,Feminino,Mulher cisgenero,Heterossexual
4,36,Parda,Feminino,Mulher cisgenero,Heterossexual
5,54,Preta,Masculino,Homem cisgenero,Heterossexual
6,36,Parda,Masculino,Homem cisgenero,Heterossexual
7,30,Parda,Masculino,Homem cisgenero,Heterossexual
8,33,Branca,Masculino,Homem cisgenero,Heterossexual
9,24,Parda,Masculino,Homem cisgenero,Heterossexual
10,38,Parda,Masculino,Homem cisgenero,Heterossexual
11,46,Parda,Masculino,Homem cisgenero,Heterossexual
12,35,Branca,Masculino,Nao se Aplica,Gay
13,72,Preta,Masculino,Homem cisgenero,Heterossexual
14,39,Branca,Masculino,Homem cisgenero,Heterossexual
15,33,Parda,Feminino,Mulher cisgenero,Heterossexual
16,36,Parda,Masculino,Homem cisgenero,Heterossexual
17,33,Parda,Masculino,Homem cisgenero,Heterossexual
18,38,Parda,Masculino,Homem cisgenero,Heterossexual
19,27,Parda,Feminino,Mulher cisgenero,Heterossexual
20,31,Branca,Masculino,Homem cisgenero,Heterossexual
21,18,Preta,Masculino,Homem cisgenero,Heterossexual
22,52,Preta,Masculino,Homem cisgenero,Heterossexual
23,79,Preta,Masculino,Homem cisgenero,Heterossexual
24,23,Indigena,Feminino,Mulher cisgenero,Heterossexual
25,25,Parda,Feminino,Mulher cisgenero,Heterossexual
26,23,Parda,Feminino,Mulher cisgenero,Heterossexual
27,22,Preta,Feminino,Mulher cisgenero,Heterossexual
28,32,Preta,Masculino,Homem cisgenero,Heterossexual
29,19,Preta,Masculino,Homem cisgenero,Nao Relatado
30,46,Preta,Masculino,Homem cisgenero,Heterossexual
31,32,Parda,Masculino,Homem cisgenero,Heterossexual
32,35,Parda,Masculino,Homem cisgenero,Heterossexual
33,36,Preta,Feminino,Mulher cisgenero,Heterossexual
34,31,Parda,Masculino,Homem cisgenero,Heterossexual
35,27,Parda,Masculino,Homem cisgenero,Heterossexual
36,38,Parda,Feminino,Mulher cisgenero,Heterossexual
37,41,Parda,Masculino,Agenero,Heterossexual
38,57,Parda,Masculino,Agenero,Heterossexual
39,42,Branca,Masculino,Agenero,Heterossexual
40,42,Parda,Masculino,Agenero,Heterossexual
41,36,Parda,Masculino,Agenero,Heterossexual
42,36,Parda,Masculino,Agenero,Bissexual/Panssexual
43,31,Parda,Masculino,Mulher transexual,Bissexual/Panssexual
44,20,Parda,Masculino,Agenero,Gay
45,65,Branca,Masculino,Homem cisgenero,Heterossexual
46,27,Parda,Masculino,Homem cisgenero,Heterossexual
47,29,Branca,Feminino,Mulher cisgenero,Heterossexual
48,31,Parda,Feminino,Mulher cisgenero,Heterossexual
49,34,Preta,Feminino,Mulher cisgenero,Heterossexual
50,33,Branca,Feminino,Mulher cisgenero,Heterossexual
51,61,Branca,Feminino,Mulher cisgenero,Heterossexual
52,36,Parda,Masculino,Homem cisgenero,Heterossexual
53,43,Preta,Masculino,Homem cisgenero,Heterossexual
54,47,Parda,Masculino,Homem cisgenero,Heterossexual
55,36,Branca,Masculino,Homem cisgenero,Heterossexual
56,64,Prefere nao declarar,Masculino,Homem cisgenero,Heterossexual
57,22,Parda,Masculino,Homem cisgenero,Heterossexual
58,40,Parda,Masculino,Homem cisgenero,Heterossexual
59,36,Preta,Masculino,Homem cisgenero,Heterossexual
60,21,Parda,Masculino,Homem cisgenero,Gay
61,18,Branca,Feminino,Mulher cisgenero,Heterossexual
62,24,Preta,Masculino,Homem cisgenero,Heterossexual
63,32,Branca,Masculino,Homem cisgenero,Heterossexual
64,38,Preta,Feminino,Mulher cisgenero,Heterossexual
65,33,Parda,Feminino,Mulher cisgenero,Heterossexual
66,19,Branca,Feminino,Mulher cisgenero,Heterossexual
67,39,Branca,Masculino,Homem cisgenero,Heterossexual
68,39,Preta,Masculino,Homem cisgenero,Heterossexual
69,27,Parda,Masculino,Homem cisgenero,Heterossexual
70,27,Preta,Masculino,Mulher transexual,Bissexual/Panssexual
71,55,Parda,Masculino,Homem cisgenero,Bissexual/Panssexual
72,22,Parda,Masculino,Homem cisgenero,Heterossexual
73,59,Preta,Masculino,Mulher transexual,Gay
74,41,Preta,Masculino,Homem cisgenero,Heterossexual
75,33,Branca,Feminino,Mulher cisgenero,Heterossexual
76,23,Branca,Masculino,Homem cisgenero,Heterossexual
77,72,Amarela,Masculino,Homem cisgenero,Heterossexual
78,37,Parda,Masculino,Homem cisgenero,Heterossexual
79,27,Parda,Masculino,Homem cisgenero,Heterossexual
80,44,Preta,Masculino,Homem cisgenero,Heterossexual
81,40,Parda,Masculino,Homem cisgenero,Heterossexual
82,55,Branca,Masculino,Homem cisgenero,Heterossexual
83,45,Preta,Masculino,Homem cisgenero,Heterossexual
84,46,Preta,Masculino,Homem cisgenero,Heterossexual
85,52,Parda,Masculino,Homem cisgenero,Heterossexual
86,28,Branca,Masculino,Homem cisgenero,Heterossexual
87,66,Parda,Masculino,Homem cisgenero,Heterossexual
88,23,Branca,Feminino,Mulher cisgenero,Heterossexual
89,32,Parda,Masculino,Homem cisgenero,Heterossexual
90,26,Parda,Masculino,Nao binario,Assexual
91,30,Preta,Masculino,Homem cisgenero,Heterossexual
92,38,Parda,Masculino,Homem cisgenero,Heterossexual
93,36,Parda,Masculino,Homem cisgenero,Heterossexual
94,31,Preta,Masculino,Homem cisgenero,Heterossexual
95,37,Preta,Masculino,Homem cisgenero,Heterossexual
96,69,Branca,Masculino,Homem cisgenero,Heterossexual
97,31,Preta,Masculino,Homem cisgenero,Heterossexual
98,47,Parda,Masculino,Homem cisgenero,Heterossexual
99,47,Parda,Masculino,Homem cisgenero,Heterossexual
100,38,Preta,Masculino,Homem cisgenero,Heterossexual
101,29,Preta,Feminino,Homem trans,Gay
102,21,Branca,Masculino,Mulher transexual,Heterossexual
103,43,Parda,Masculino,Homem cisgenero,Heterossexual
104,32,Preta,Masculino,Homem cisgenero,Heterossexual
105,33,Branca,Masculino,Mulher transexual,Heterossexual
106,44,Parda,Masculino,Homem cisgenero,Gay
107,45,Preta,Masculino,Homem cisgenero,Heterossexual
108,48,Branca,Masculino,Homem cisgenero,Heterossexual
109,32,Parda,Masculino,Homem cisgenero,Heterossexual
110,36,Parda,Masculino,Homem cisgenero,Heterossexual
111,39,Parda,Masculino,Homem cisgenero,Heterossexual
112,37,Preta,Masculino,Homem cisgenero,Heterossexual
113,38,Preta,Masculino,Homem cisgenero,Heterossexual
114,28,Branca,Masculino,Homem cisgenero,Heterossexual
115,35,Parda,Masculino,Homem cisgenero,Heterossexual
116,40,Parda,Masculino,Homem cisgenero,Heterossexual
117,24,Parda,Masculino,Homem cisgenero,Heterossexual
118,36,Parda,Masculino,Nao se Aplica,Heterossexual
119,48,Branca,Masculino,Homem cisgenero,Heterossexual
120,49,Branca,Masculino,Homem cisgenero,Heterossexual
121,52,Parda,Masculino,Homem cisgenero,Heterossexual
122,50,Parda,Masculino,Homem cisgenero,Heterossexual
123,52,Branca,Masculino,Homem cisgenero,Heterossexual
124,35,Preta,Masculino,Homem cisgenero,Heterossexual
125,52,Branca,Masculino,Homem cisgenero,Heterossexual
126,56,Parda,Masculino,Homem cisgenero,Heterossexual
127,28,Parda,Masculino,Homem cisgenero,Heterossexual
128,34,Branca,Masculino,Homem cisgenero,Heterossexual
129,41,Parda,Masculino,Homem cisgenero,Heterossexual
130,35,Parda,Masculino,Homem cisgenero,Heterossexual
131,39,Parda,Feminino,Mulher cisgenero,Heterossexual
132,32,Parda,Feminino,Mulher cisgenero,Bissexual/Panssexual
133,54,Branca,Feminino,Mulher cisgenero,Heterossexual
134,40,Parda,Masculino,Homem cisgenero,Heterossexual
135,40,Branca,Masculino,Homem cisgenero,Heterossexual
136,56,Branca,Masculino,Homem cisgenero,Heterossexual
137,61,Branca,Masculino,Homem cisgenero,Heterossexual
138,64,Preta,Masculino,Homem cisgenero,Heterossexual
139,49,Parda,Masculino,Homem cisgenero,Heterossexual
140,50,Branca,Masculino,Homem cisgenero,Heterossexual
141,43,Parda,Masculino,Homem cisgenero,Heterossexual
142,48,Parda,Masculino,Homem cisgenero,Heterossexual
143,51,Indigena,Masculino,Homem cisgenero,Heterossexual
144,47,Parda,Masculino,Homem cisgenero,Heterossexual
145,43,Parda,Masculino,Homem cisgenero,Heterossexual
146,45,Preta,Masculino,Homem cisgenero,Heterossexual
147,48,Parda,Masculino,Mulher transexual,Gay
148,35,Parda,Masculino,Homem cisgenero,Heterossexual
149,45,Branca,Masculino,Homem cisgenero,Heterossexual
150,37,Parda,Masculino,Homem cisgenero,Heterossexual
151,31,Parda,Masculino,Homem cisgenero,Heterossexual
152,40,Branca,Masculino,Homem cisgenero,Heterossexual
153,31,Preta,Masculino,Homem cisgenero,Heterossexual
154,50,Parda,Masculino,Homem cisgenero,Heterossexual
155,35,Parda,Feminino,Mulher cisgenero,Heterossexual
156,39,Branca,Feminino,Mulher cisgenero,Heterossexual
157,34,Branca,Masculino,Homem cisgenero,Gay
158,27,Parda,Feminino,Mulher cisgenero,Bissexual/Panssexual
159,45,Parda,Masculino,Homem cisgenero,Heterossexual
160,41,Preta,Masculino,Homem cisgenero,Heterossexual
161,32,Parda,Feminino,Mulher cisgenero,Lesbica
162,43,Parda,Masculino,Homem cisgenero,Heterossexual
163,38,Indigena,Masculino,Homem cisgenero,Heterossexual
164,20,Parda,Masculino,Homem cisgenero,Heterossexual
165,31,Parda,Masculino,Mulher transexual,Heterossexual
166,29,Parda,Masculino,Homem cisgenero,Heterossexual
167,49,Preta,Masculino,Homem cisgenero,Heterossexual
