id_beneficiario;local_dorme;status;estrangeiro;egresso_prisional
1;CASA;SUSPENSO;0;0
2;RUA;SUSPENSO;1;1
3;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
4;CASA;SUSPENSO;0;0
5;CASA;SUSPENSO;1;1
6;CASA;SUSPENSO;0;0
7;CASA;SUSPENSO;0;0
8;CENTRO_ACOLHIDA;SUSPENSO;1;0
9;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
10;RUA;SUSPENSO;0;0
11;CASA;SUSPENSO;0;0
12;RUA;SUSPENSO;1;1
13;RUA;SUSPENSO;0;0
14;RUA;ATIVO;0;0
15;PENSAO;ATIVO;1;1
16;CASA;ATIVO;0;0
17;CASA;ATIVO;0;0
18;CENTRO_ACOLHIDA;ATIVO;0;1
19;PENSAO;INATIVO;0;1
20;RUA;ATIVO;0;0
21;RUA;ATIVO;1;0
22;CASA;ATIVO;0;1
23;CASA;ATIVO;0;0
24;CASA;ATIVO;0;0
25;CASA;ATIVO;0;1
26;PASSAGEM_PELA_CIDADE;ATIVO;1;0
27;CASA;INATIVO;0;0
28;PENSAO;ATIVO;0;0
29;CASA;ATIVO;0;0
30;CASA;ATIVO;0;0
31;CASA;ATIVO;0;0
32;CASA;ATIVO;0;0
33;RUA;ATIVO;1;0
34;CENTRO_ACOLHIDA;SUSPENSO;1;0
35;CASA;ATIVO;0;0
36;CENTRO_ACOLHIDA;ATIVO;0;0
37;PASSAGEM_PELA_CIDADE;ATIVO;0;1
38;CASA;ATIVO;0;0
39;CENTRO_ACOLHIDA;ATIVO;0;0
40;CENTRO_ACOLHIDA;ATIVO;1;0
41;RUA;ATIVO;1;0
42;CASA;SUSPENSO;0;1
43;CASA;ATIVO;0;1
44;PENSAO;ATIVO;1;1
45;CASA;ATIVO;1;0
46;CASA;ATIVO;0;0
47;RUA;ATIVO;1;0
48;CASA;ATIVO;0;0
49;CASA;ATIVO;0;1
50;CASA;ATIVO;1;0
51;CASA;ATIVO;0;0
52;PASSAGEM_PELA_CIDADE;ATIVO;1;0
53;CASA;SUSPENSO;0;0
54;CASA;ATIVO;1;0
55;CASA;ATIVO;1;0
56;RUA;ATIVO;0;0
57;RUA;ATIVO;0;0
58;CASA;SUSPENSO;0;0
59;CASA;ATIVO;1;0
60;CASA;ATIVO;0;0
61;CASA;ATIVO;0;0
62;RUA;ATIVO;0;0
63;CENTRO_ACOLHIDA;INATIVO;1;0
64;CASA;SUSPENSO;1;0
65;CASA;ATIVO;0;0
66;CASA;ATIVO;0;0
67;CASA;ATIVO;1;0
68;RUA;INATIVO;0;0
69;CENTRO_ACOLHIDA;ATIVO;0;0
70;RUA;ATIVO;1;0
71;PASSAGEM_PELA_CIDADE;ATIVO;0;1
72;RUA;BANIDO;0;0
73;PASSAGEM_PELA_CIDADE;INATIVO;1;0
74;CASA;INATIVO;1;0
75;CENTRO_ACOLHIDA;SUSPENSO;1;0
76;CASA;INATIVO;0;0
77;CASA;INATIVO;0;0
78;CASA;INATIVO;0;0
79;PENSAO;INATIVO;0;0
80;CASA;SUSPENSO;0;0
81;CENTRO_ACOLHIDA;SUSPENSO;0;0
82;CASA;INATIVO;0;0
83;PENSAO;INATIVO;1;0
84;CASA;INATIVO;0;0
85;CASA;SUSPENSO;0;0
86;CASA;INATIVO;0;0
87;RUA;INATIVO;0;0
88;RUA;ATIVO;0;0
89;CASA;ATIVO;0;0
90;PENSAO;ATIVO;1;0
91;CASA;INATIVO;0;0
92;RUA;ATIVO;0;0
93;CASA;ATIVO;1;0
94;CASA;ATIVO;0;0
95;CASA;ATIVO;0;0
96;CASA;ATIVO;0;0
97;PENSAO;ATIVO;0;0
98;RUA;ATIVO;0;0
99;CASA;ATIVO;0;1
100;CASA;ATIVO;0;1
101;RUA;ATIVO;0;0
102;CASA;ATIVO;1;1
103;CASA;ATIVO;1;0
104;RUA;ATIVO;0;0
105;CENTRO_ACOLHIDA;ATIVO;0;0
106;CASA;SUSPENSO;0;0
107;CENTRO_ACOLHIDA;SUSPENSO;0;0
108;RUA;ATIVO;1;1
109;CASA;ATIVO;0;0
110;CASA;ATIVO;0;0
111;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
112;CASA;ATIVO;1;0
113;RUA;ATIVO;1;1
114;CASA;ATIVO;0;0
115;RUA;ATIVO;1;0
116;CASA;ATIVO;0;0
117;CASA;ATIVO;0;0
118;CASA;SUSPENSO;1;0
119;CASA;BANIDO;0;0
120;CASA;INATIVO;0;0
121;PASSAGEM_PELA_CIDADE;ATIVO;0;0
122;CASA;ATIVO;0;1
123;CENTRO_ACOLHIDA;SUSPENSO;0;0
124;RUA;ATIVO;0;0
125;PENSAO;SUSPENSO;0;0
126;RUA;SUSPENSO;0;0
127;CASA;ATIVO;0;1
128;CASA;SUSPENSO;0;0
129;RUA;ATIVO;0;0
130;CASA;SUSPENSO;0;0
131;CENTRO_ACOLHIDA;ATIVO;0;0
132;PASSAGEM_PELA_CIDADE;SUSPENSO;0;0
133;CENTRO_ACOLHIDA;ATIVO;0;0
134;PENSAO;ATIVO;0;1
135;CASA;INATIVO;0;0
136;CENTRO_ACOLHIDA;ATIVO;0;0
137;RUA;ATIVO;0;0
138;CASA;SUSPENSO;0;0
139;CASA;ATIVO;0;0
140;CASA;INATIVO;0;0
141;RUA;ATIVO;0;0
142;CASA;INATIVO;1;0
143;CASA;BANIDO;0;0
144;CASA;BANIDO;0;0
145;CASA;BANIDO;0;0
146;CASA;BANIDO;0;0
147;CASA;BANIDO;0;0
148;RUA;BANIDO;0;0
149;RUA;BANIDO;0;0
150;PASSAGEM_PELA_CIDADE;BANIDO;0;0
151;RUA;BANIDO;0;0
152;CASA;ATIVO;0;1
153;CASA;ATIVO;0;0
154;CASA;ATIVO;0;0
155;CENTRO_ACOLHIDA;ATIVO;0;0
156;CASA;ATIVO;0;0
157;CENTRO_ACOLHIDA;SUSPENSO;0;0
158;CASA;SUSPENSO;1;0
159;RUA;SUSPENSO;0;0
160;CASA;SUSPENSO;0;0
161;RUA;SUSPENSO;0;1
162;CENTRO_ACOLHIDA;SUSPENSO;1;1
163;CASA;SUSPENSO;0;0
164;RUA;SUSPENSO;0;0
165;CASA;SUSPENSO;0;0
166;CASA;SUSPENSO;0;1
167;CASA;ATIVO;0;0
168;CENTRO_ACOLHIDA;ATIVO;0;0
169;PENSAO;ATIVO;0;0
170;CENTRO_ACOLHIDA;ATIVO;0;1
171;RUA;INATIVO;0;0
172;CASA;INATIVO;0;0
173;CASA;ATIVO;0;0
174;CASA;ATIVO;0;0
175;CASA;ATIVO;0;0
176;PASSAGEM_PELA_CIDADE;ATIVO;1;0
177;CASA;ATIVO;0;1
178;PENSAO;INATIVO;0;0
179;RUA;ATIVO;0;0
180;CASA;INATIVO;0;0
181;CASA;ATIVO;0;0
182;CASA;ATIVO;0;0
183;CENTRO_ACOLHIDA;ATIVO;0;0
184;CASA;ATIVO;0;0
185;CENTRO_ACOLHIDA;ATIVO;1;1
186;CASA;ATIVO;1;0
187;CASA;ATIVO;0;0
188;CENTRO_ACOLHIDA;INATIVO;0;1
189;CASA;ATIVO;0;1
190;RUA;ATIVO;0;0
191;CASA;INATIVO;0;0
192;PENSAO;ATIVO;0;0
193;RUA;ATIVO;0;1
194;RUA;ATIVO;0;1
195;CASA;ATIVO;0;0
196;CASA;ATIVO;0;0
197;CASA;ATIVO;0;0
198;PENSAO;ATIVO;0;0
199;CASA;BANIDO;0;1
200;CENTRO_ACOLHIDA;ATIVO;0;0
201;RUA;ATIVO;0;0
